docId,filename,Filename,Author,Title,Year,0 waters mineral heat,1 fibres motion muscles,2 cold water ice,3 glass put experiment,4 line equal mr,5 ore silver mines,6 salt water springs,7 trees tree sap,8 ground foot good,9 water lake holes,10 author amp book,11 diseases cure physicians,12 niter particles nitro,13 author part hath,14 time sun day,15 light wood shining,16 parts aerial fire,17 air weather inches,18 de des paris,19 parts seed body,20 blood vein dog,21 8 12 10,22 principles plants motion,23 trade comet rest,24 earth amp stones,25 sea east north,26 found small place,27 breasts lord giving,28 stones water mines,29 glasses glass foot,30 comet sun comets,31 vipers liquor poison,32 fire channel mountain,33 motion body soul,34 england mr seed,35 sound music ear,36 faetus egg eggs,37 stone stones plants,38 salt vitriol water,39 brain nerves spirits,40 powder side piece,41 day observed observations,42 salts spirits volatil,43 amp de ad,44 hath made parts,45 jupiter spots observations,46 world work takes,47 animals birds authors,48 years grass husbandry,49 eye eyes sight,50 urine body stone,51 fig square iron,52 town feet ancient,53 year remainder period,54 picture thereof monsieur,55 left death breast,56 sea jamaica rains,57 gems ipsum est,58 letters reason voice,59 method aequations number,60 rey corrupted gangrene,61 bodies body motion,62 prism image mr,63 fire great part,64 ad est pro,65 stone stones needles,66 good long great,67 country great people,68 moon stars sun,69 god amp pagan,70 liquor boiled days,71 grain grains silk,72 light hundred rowers,73 vessels dr trunks,74 nature bodies great,75 snails cochlea curva,76 blood heart motion,77 make china making,78 good trade places,79 send spiders hands,80 transfusion man operation,81 water kind called,82 child mother imm,83 sea ball needle,84 made make part,85 ships ship sea,86 oil surface liquors,87 plain center geometry,88 hunting dogs sheep,89 water weight bottom,90 letter account mr,91 white colour found,92 wind east west,93 spirit wine aqua,94 table mercury parts,95 air experiment experiments,96 moon tides motion,97 globuls blood hair,98 general philosophy knowledge,99 2 3 1
0,1669-An-Accompt-of-d1bdcbb83e7cca316146548f48ada6c6de419702.txt,1669-An-Accompt-of-d1bdcbb83e7cca316146548f48ada6c6de419702.txt,,An Accompt of Some Books,1669,5.157270494653656E-5,3.559932400744825E-5,1.2541304055263764E-4,1.7773944076938085E-4,0.17263709684450512,7.83058810978311E-5,0.0013391917051775659,1.077511250745551E-4,0.0015853128790319334,3.46244618081037E-5,0.13218028062505666,1.6970156637790212E-4,2.905763638429176E-5,0.037561087173226156,0.06022006607448544,9.598016665062043E-5,3.344958848302841E-5,7.705509130926042E-5,1.0337612601121002E-4,4.402314481129075E-5,6.906002278635227E-5,1.5547863436346168E-4,4.241378311898535E-5,0.010272792704855817,0.002772290518216148,0.010308468647402359,0.014858407413731425,5.2505681552397255E-5,0.0013433274017529296,7.898548965332726E-5,6.11542341124225E-5,3.632609466832194E-5,3.756583309948565E-5,1.3176945725353864E-4,8.392014094143533E-5,3.36860178834517E-5,2.5381160582855698E-5,2.798107361390998E-5,0.00396874497616866,5.055629556171343E-5,5.0396360250363364E-5,0.0015291202028251201,3.059830038944374E-5,6.186583148543474E-5,0.03399148135547609,6.952893309051927E-5,5.40559426667787E-5,4.6112942848203776E-5,0.014087064210715964,5.754888657385278E-5,2.413864772442856E-5,0.025645279966191703,2.2351821583949507E-5,1.8990772667500893E-5,7.427702379348158E-5,1.4969542719774648E-4,2.9628380207573868E-5,1.3490232645794388E-5,0.006434774267457435,0.02304661870270316,8.89806966591086E-6,8.335863765420588E-5,3.297508090423881E-5,1.474605139079641E-4,1.1922864417531026E-5,6.060386435603563E-5,2.916574032697958E-5,0.08072266289050742,9.033923398067204E-5,2.1519158361440404E-5,9.153111031053144E-5,0.011565427747235476,9.680911321308648E-6,5.563445617609287E-5,0.013024383451903212,6.619392958231995E-6,0.0026972255080113536,0.15732015790899734,0.01409332854368079,3.0675627262946026E-5,5.5410322141117085E-5,1.991968742151992E-4,0.024325494567865123,6.867747037019232E-5,0.028935219191340764,2.525789783065583E-5,6.812282826256193E-5,5.890598832200229E-5,2.583129177565844E-5,0.0064568406247080155,0.060878974379206495,0.013108839738550947,9.780397050059514E-5,4.419730811654549E-5,0.025614737120741138,1.3851914128748262E-4,7.147300013168505E-5,7.659933672453918E-5,6.299760516557585E-5,0.0030488122412234936
1,1671-An-Accompt-of-272b6825f9730c9922da09f5db00ef3b043f8f85.txt,1671-An-Accompt-of-272b6825f9730c9922da09f5db00ef3b043f8f85.txt,,An Accompt of Four Books,1671,0.010224805859379266,2.0277631937156713E-5,7.14361732237955E-5,1.0124166851829822E-4,7.505097030812045E-4,4.460359514367064E-5,3.456828581588982E-5,0.03210415479520358,0.03221753965966283,1.972234339112646E-5,0.019215978811106753,0.028498217330077596,1.6551439444218723E-5,0.11388217844375789,7.427044269843384E-5,0.0022394059259988946,1.9053127064050256E-5,4.389113625096571E-5,5.88837876220871E-5,2.507590107645675E-5,3.9337087505940136E-5,0.005186276589670061,2.4159197038944673E-5,2.5497067462535802E-5,0.02633944590077898,4.5818341872649785E-5,0.005550476214988155,2.9907615237477863E-5,3.6924008439764296E-5,0.0022297256353009626,0.005132548730383085,2.069160575196391E-5,2.1397769711712867E-5,0.002259791764280152,4.7801518078509135E-5,1.9187798957255394E-5,1.4457292288171997E-5,1.5938221518774968E-5,7.589085757349073E-5,2.879723090506004E-5,2.870613059718249E-5,0.011794672556951895,1.7429012783216992E-5,0.11801092545598847,0.027372487900117266,3.9604182200138524E-5,3.079065515917233E-5,2.6266265124005766E-5,1.339872124339279E-5,0.00804347500535657,0.023317588803654987,4.2837060743472274E-5,1.2731758926363152E-5,1.0817281200992162E-5,0.03208508770547281,8.52675959452558E-5,1.687653924601549E-5,0.23450256664398003,2.4068990054409055E-5,0.018953480194684957,5.068404714616734E-6,4.748168175275306E-5,1.8782844121821528E-5,0.00445346443363844,0.0029197712565979133,0.001491010352099936,1.661301623034872E-5,0.009567962661946117,5.145787981146713E-5,1.2257467944036808E-5,0.0036933616648697405,0.04299999996969176,5.514316972667184E-6,3.168978784896738E-5,0.008147027810672723,3.7704540127321543E-6,7.986916647309977E-5,0.018970934855665943,1.6966930520794566E-5,1.7473058728567033E-5,0.008770501840357313,0.015406608489031933,1.9322747399121856E-5,3.911918288814631E-5,0.020851179587851407,1.4387080934716326E-5,0.015331947766266932,3.355327617564032E-5,1.4713690264975649E-5,3.6638146435790005E-5,0.01210150899739009,0.01402109453513093,0.010979384498710056,0.011677094733582551,2.5439635493754846E-5,7.890150281198887E-5,4.0711536820514714E-5,0.005869591349064622,0.02479621309980522,0.006106095321641509
2,1665-Monsieur-Auzout-Monsieur-Auzout's-Judgment-ee29fbbad1326c3dcb31bf4df7d317cb0ab7831f.txt,1665-Monsieur-Auzout-Monsieur-Auzout's-Judgment-ee29fbbad1326c3dcb31bf4df7d317cb0ab7831f.txt,Monsieur Auzout,"Monsieur Auzout's Judgment Touching the Apertures of Object-Glasses, and Their Proportions, in Respect of the Several Lengths of Telescopes",1665,1.6588919198435383E-4,1.1450908190498923E-4,4.0340463008766857E-4,5.71718164551375E-4,1.2573033084774113E-4,2.5187934889993503E-4,1.9520931655502967E-4,3.465931657560536E-4,9.868847329069037E-4,1.1137333204054048E-4,0.03860227916600665,0.012883201077184782,9.34670350481401E-5,0.00155837543804993,4.1940993072721056E-4,3.0873060291681126E-4,1.0759422472432049E-4,2.478560480553628E-4,3.3252050735461833E-4,1.4160521401632747E-4,2.2213904409949716E-4,0.14443571927624482,1.3642852780171302E-4,1.4398356748228535E-4,6.924810178696112E-4,2.5873910121783784E-4,0.03545633935117836,1.6889021230017748E-4,2.0851223258184574E-4,0.2757879385908564,0.024871384431053755,1.1684681846186083E-4,1.2083457141821433E-4,4.238507329539316E-4,2.6993822384184854E-4,1.0835472550158677E-4,8.164125238495605E-5,9.000415428041211E-5,4.2856051696050476E-4,1.626198010972864E-4,1.621053518436137E-4,8.061349029134958E-4,9.842274771046777E-5,1.9899814848180038E-4,0.03531325621033965,2.2364734488674578E-4,1.738767951039319E-4,1.4832727577580618E-4,7.566343412469084E-5,1.851122275481265E-4,7.764457518277469E-5,2.419036163811082E-4,7.189705534708112E-5,6.108587742752947E-5,0.04136337878063619,4.815115570790807E-4,9.530289438056177E-5,4.339279461125242E-5,1.3591912320197458E-4,1.079199044307277E-4,2.86216049483666E-5,2.681320876946053E-4,1.0606791969693323E-4,4.743227163893896E-4,3.835118492259833E-5,1.9493889450968754E-4,9.381476308996756E-5,5.690995974241468E-4,2.9058593193967403E-4,6.921870389508113E-5,2.944197312626031E-4,1.894383349781005E-4,3.11396999329182E-5,1.7895425479637917E-4,7.698815291207943E-4,2.1291994484415167E-5,4.5102628125884595E-4,2.064874891511711E-4,9.581333967906863E-5,9.867147797538733E-5,1.7823330339394896E-4,6.407383235691134E-4,1.091167879667961E-4,2.2090852281359167E-4,0.014936795379801231,8.12447643902813E-5,2.1912445639375413E-4,0.012526815098629143,0.012420426754428686,2.0689795159834314E-4,0.018988643343031682,0.0010415443237040062,3.145970655606439E-4,1.4216542915361735E-4,1.4365924548859866E-4,4.455618227969292E-4,2.299006471123461E-4,2.46390064064782E-4,2.0263862112139528E-4,0.3100153832512188
3,1666-Christopher-Merret-An-Experiment-of-bb8dc33a063112c15da02e224c0b121b4999b2f0.txt,1666-Christopher-Merret-An-Experiment-of-bb8dc33a063112c15da02e224c0b121b4999b2f0.txt,Christopher Merret,"An Experiment of Making Cherry-Trees, That Have Withered Fruit, to Bear Full and Good Fruit; And of Recovering the Almost Withered Fruit",1666,3.9874076560211796E-4,2.7524058946225684E-4,9.696464798247218E-4,0.0013742145339001599,3.022126262834794E-4,6.054316331180621E-4,4.692162967624809E-4,0.33692004788753305,0.14076087955806793,2.677033214417763E-4,0.0038224552978323267,0.0013120687109887108,2.246627201437601E-4,0.0037458004818190474,0.020777938719622,0.010626993055386823,2.5861964259243784E-4,5.957609967141928E-4,7.99265341490666E-4,3.403704049354082E-4,5.339461326854275E-4,0.0012021023478432438,3.279274253789584E-4,3.4608715158143406E-4,0.0016644870466082297,6.219201267827938E-4,0.006145604619960179,4.0595418996090257E-4,5.011919478451242E-4,6.106861109665521E-4,4.728215468837086E-4,2.808597069786708E-4,2.9044489844188843E-4,0.00101879190402597,0.04018848094399783,2.604476258295661E-4,1.9623759143852772E-4,2.1633914154291345E-4,0.0010301126106864662,3.9088227036341184E-4,3.896457106646206E-4,0.06124713498262287,2.365745550104163E-4,4.7832335024285946E-4,0.005801681785444466,5.375715708678168E-4,0.010302850717188323,3.5652793768565545E-4,1.8186896500050587E-4,4.4494635516589376E-4,1.866309491467705E-4,5.814533909286969E-4,1.7281588119578568E-4,1.4682951457878915E-4,5.742820231120836E-4,0.09012158318434933,2.29075496811071E-4,1.0430140708948758E-4,3.2670299129937045E-4,2.594024649928636E-4,6.879652937817352E-5,6.444976472000965E-4,2.5495092838699303E-4,0.001140109254938199,9.2183105209335E-5,0.010353476785962176,2.254985391863454E-4,0.0013679203959361267,6.984689936024219E-4,1.6637804220370265E-4,0.030362415606653242,4.553448348261452E-4,7.48491667440464E-5,4.3014469907114167E-4,0.0018505313497066678,5.1178657755548816E-5,0.001084112608811734,4.963251585381318E-4,2.3030243237384004E-4,2.371724173248689E-4,4.284117789771427E-4,0.0015401153422620975,2.622793628293031E-4,5.309883812263817E-4,0.08532748955560168,1.9528457017983376E-4,5.267000969709605E-4,4.554389556726556E-4,1.997178365919597E-4,4.97311769591441E-4,0.006102549029252415,0.012388426097377784,7.561835299653651E-4,3.417169701339772E-4,3.453075926570863E-4,0.03072570939675614,5.526023663473226E-4,5.922372736085924E-4,4.870737988411174E-4,0.053227001504626816
4,1665-Robert-Boyle-Other-Inquiries-Concerning-c3fda83ba55f8b35284885ac390b7cca36b433a1.txt,1665-Robert-Boyle-Other-Inquiries-Concerning-c3fda83ba55f8b35284885ac390b7cca36b433a1.txt,Robert Boyle,Other Inquiries Concerning the Sea,1665,1.7374906170549676E-4,0.004427229090488383,0.1985580669153526,5.988063083709471E-4,1.3168746409215797E-4,2.6381345288897925E-4,2.0445838081366202E-4,3.6301483311421405E-4,0.0053409381091603205,1.1665022723652653E-4,0.018894791711433274,5.717266131121112E-4,9.789552559603045E-5,0.010246800721847983,4.3928167388200496E-4,0.039089009200220265,1.126920649088715E-4,2.595995270850047E-4,3.482754087810003E-4,1.4831450303443223E-4,2.3266404531094406E-4,5.238093845166376E-4,1.4289254418482935E-4,1.5080554345829042E-4,0.21609001797497684,0.03042206000756257,0.04575085829895859,1.7689227108397558E-4,2.1839159219384828E-4,2.6610306226601104E-4,2.0602934841922155E-4,1.223830487578459E-4,1.2655974240612826E-4,0.013365816504803025,2.8272796165884726E-4,1.1348859839544594E-4,8.550943451268157E-5,9.42685727066132E-5,0.013370749439505936,1.7032476629371342E-4,1.697859423109602E-4,8.443297680446967E-4,1.0308604111341688E-4,2.0842672850624906E-4,0.045600995844574305,2.342438097514076E-4,1.8211511937749682E-4,1.5535505769302614E-4,7.924838578887425E-5,1.9388288930682665E-4,8.132339378566267E-5,2.5336506776974465E-4,7.530355508104304E-5,6.39801409575331E-5,2.502401842946377E-4,5.043256901916418E-4,9.981836838413466E-5,4.5448755631985615E-5,1.4235900387292422E-4,1.1303317539791477E-4,2.9977703458541988E-5,2.808362503475673E-4,1.1109344318305147E-4,4.967962405051189E-4,4.0168273266554546E-5,2.0417514610692407E-4,9.825972907591666E-5,5.960636729049085E-4,0.004611648503927152,7.249830269457989E-5,3.083694087755072E-4,1.9841396874487743E-4,3.261510638767569E-5,1.8743315032850293E-4,0.013728242323121972,2.2300814292076784E-5,0.0047796905554945476,2.162709159335934E-4,1.0035299870336553E-4,1.0334655627797087E-4,1.866780400756341E-4,6.710966590842551E-4,1.1428676756311293E-4,2.313752216312502E-4,0.024259093410576214,8.509416082168229E-5,0.03038056841136123,1.9845498137809392E-4,8.702593190165757E-5,0.04759694077506052,0.09741963155544343,0.009705482025291307,0.0735535099437231,1.489012612993499E-4,1.5046585501072215E-4,4.666726488731038E-4,0.03469914972138822,2.5806408442118897E-4,2.1223968761303525E-4,0.0016568959370218137
5,1666-Athanasii-Kircheri-Account-of-Athanasii-bd3fb3ee15bff92a4b589bb5b306b6f242874886.txt,1666-Athanasii-Kircheri-Account-of-Athanasii-bd3fb3ee15bff92a4b589bb5b306b6f242874886.txt,Athanasii Kircheri,Account of Athanasii Kircheri China Illustrata,1666,4.593483091361195E-5,3.1707643231360875E-5,0.013776571961161778,1.5830915145686474E-4,3.481481475145286E-5,6.97455642766675E-5,0.0011927926720542183,0.024009492534799986,0.04696157127960398,3.083935194554631E-5,0.09153947212577362,1.5114996906648632E-4,2.5881086040481145E-5,0.043703600211716834,1.1613489716232498E-4,8.548771546357734E-5,2.979291454056255E-5,6.863150951638241E-5,9.207515630122228E-5,3.9210580776952184E-5,6.15104535019026E-5,1.3848187306771332E-4,3.7777152817500984E-5,3.986914848112113E-5,0.02410526911802312,0.026262643841257895,0.0018467111080895993,4.6765815495107014E-5,0.025109996908362086,0.001209089957296752,5.4468917356917054E-5,3.2354964085576585E-5,0.026224457982475944,1.1736455834136344E-4,0.0012134851576798204,3.0003497726817935E-5,2.260651871902649E-5,0.009134834840458099,0.004673625014996863,4.5029534337074816E-5,4.488708298627603E-5,2.2321930691171816E-4,2.725332627191188E-5,5.510272365119176E-5,0.01774943838819366,6.192810302325098E-5,4.814660368984841E-5,0.003457289159961538,2.0951256747267157E-5,5.1257702631207205E-5,2.149983606355968E-5,0.018286808534057026,0.0011586474224426792,1.6914721310522997E-5,0.04333824212268344,1.3333088004590252E-4,2.6389436747403154E-5,1.2015494556902586E-5,3.7636098334832766E-5,2.9883095474394702E-5,7.925342019288514E-6,7.424595878390395E-5,2.937027963278482E-5,0.002408818442252414,1.0619469380032739E-5,5.3978713445258645E-5,2.5977372173496806E-5,0.18804953203071545,8.046344363882501E-5,1.9166706531308017E-5,8.152502529793682E-5,0.0068848900760984525,8.622604245695051E-6,4.955255575732996E-5,2.1318072287079536E-4,5.895767860195588E-6,0.0024023676434040335,0.10823738899035033,0.056963484707366986,2.73221998526769E-5,4.935292382006254E-5,0.06736302651577632,3.0214513345534693E-5,6.1169721314787E-5,0.02577205136671423,0.006854931202277666,0.0046156320263381805,5.24664474391136E-5,2.3007442041775825E-5,5.729018454643466E-5,7.030120368491548E-4,0.00484336065104843,0.0035033293786668573,3.936570473227945E-5,0.010288431050532879,0.0012621154525528132,6.365964669374975E-5,6.822557754502322E-5,5.6110773019237356E-5,0.0812885157041595
6,1668-Henry-Philips-A-Letter-Written-e3eb3ecad439b441faf9b77b347a7d138b9aefbb.txt,1668-Henry-Philips-A-Letter-Written-e3eb3ecad439b441faf9b77b347a7d138b9aefbb.txt,Henry Philips,"A Letter Written to Dr. John Wallis by Mr. Henry Philips, Containing His Observations about the True Time of the Tides",1668,3.0601897317881823E-5,2.112370989637411E-5,7.441682559202091E-5,8.640967205461955E-4,2.319371520423571E-5,4.6464666439859056E-5,3.601063691523879E-5,6.393670583763353E-5,0.0016993140679733294,2.0545252106456893E-5,2.9335948219345274E-4,1.0069648110107559E-4,1.7242043167102873E-5,0.003321999603177083,0.025870815688134464,5.69521262737785E-5,1.9848112933851077E-5,4.572248041886645E-5,6.134069555969471E-5,2.6122185340519626E-5,4.097841538987296E-5,0.5326510606849741,2.516723210883792E-5,7.85191699295333E-4,1.2774330111528195E-4,4.773009810269073E-5,0.020954683619452498,3.11555012896365E-5,3.846465134144339E-5,4.6867928422204313E-5,3.628732669349231E-5,2.1554956641348254E-5,2.2290585075242362E-5,7.818855739069797E-5,4.979602172610959E-5,1.998840397040195E-5,1.5060518364712626E-5,1.660323891222366E-5,7.905738027683361E-5,2.9998786512281586E-5,2.9903885072062154E-5,0.00318323234932992,1.8156232983904088E-5,3.6709570005398666E-5,0.0012038886603180131,4.125665452808165E-5,3.207538578061649E-5,2.7362216962033754E-5,1.3957778768495602E-5,3.414800754618437E-5,1.4323243658079487E-5,8.032551984655886E-4,1.3262987653812658E-5,1.1268628933862566E-5,4.40740476490876E-5,8.474561347054858E-4,1.7580707658193662E-5,8.0047520223905E-6,2.5073261265602254E-5,1.990819169374359E-5,5.279882343302407E-6,4.946284032797929E-5,1.956655251894305E-5,8.46129995479723E-4,7.0747166164456566E-6,3.596075164203285E-5,1.7306189225705387E-5,1.0498289391670678E-4,5.36049440284067E-5,1.276890702604618E-5,5.431217234035548E-5,3.494605287858117E-5,5.744400153246223E-6,3.301203450549912E-5,9.006522963626797E-4,3.927775047372789E-6,8.320168289234345E-5,3.8091143038585396E-5,1.767487048112655E-5,1.82021167327841E-5,3.287903921795541E-5,1.1819822708729028E-4,2.012898309452203E-5,4.075141876888574E-5,0.0027554192832164775,1.4987377464117043E-5,4.042230861568601E-5,3.495327630976467E-5,1.5327614468281464E-5,3.816686183322748E-5,0.016399594612946242,1.9213567842936297E-4,5.803432388592124E-5,2.622552930104048E-5,2.650109646456723E-5,8.21936437624333E-5,0.11307839561826016,8.040828220720185E-4,3.738113497339217E-5,0.26960574903408585
7,1665-Of-Some-Other-153830f7482e2985e61c6489b9aa3dfdb3eb47a1.txt,1665-Of-Some-Other-153830f7482e2985e61c6489b9aa3dfdb3eb47a1.txt,,Of Some Other Not-Common Springs at Basel and in Alsatia,1665,0.004768600328801381,1.276309680913398E-4,0.03253554210433723,0.005220934272856747,1.401380884169194E-4,0.014031847262888369,0.09189160831682779,3.863101558703522E-4,0.04235328761927979,1.2413588469503808E-4,0.05219321521027082,0.1335357580815154,1.0417765970492459E-4,0.001736953632840298,4.674711786638063E-4,3.4410882590421674E-4,1.1992371988447378E-4,2.7625850137238137E-4,3.7062487584265817E-4,1.5783211471978256E-4,2.475945206933699E-4,5.574231863834335E-4,1.520622188994271E-4,1.6048300974289922E-4,0.005355535647892375,2.883886712052746E-4,0.012017162383535517,1.8824377017456783E-4,0.06440422680690708,2.831793802464752E-4,2.192506268102138E-4,1.3023659181071953E-4,1.346813114946202E-4,4.724208636832779E-4,3.008711297011176E-4,1.2077136837507338E-4,9.099673060628514E-5,1.0031795864525914E-4,0.16549092339884125,1.812548166449273E-4,1.8068141534620242E-4,8.985119464710756E-4,1.0970126005306286E-4,2.2180185114216468E-4,0.048527294770399326,2.4927566149414237E-4,1.9380177815195147E-4,1.6532447458905382E-4,8.433389898682653E-5,2.0632470730238528E-4,8.654206402458784E-5,2.6962396545222595E-4,0.0871704639173112,6.808586308685452E-5,2.6629855251526904E-4,5.36689187921031E-4,0.032192134209131605,4.836528502619593E-5,1.5149444033432828E-4,1.2028672005463447E-4,3.190142726774187E-5,2.98858023830889E-4,1.1822251169201137E-4,5.286765597397922E-4,4.274594449357776E-5,2.1727743695972238E-4,1.0456523478519438E-4,6.34314164005806E-4,3.2388491104973953E-4,7.715065077097674E-5,0.11033699339853222,2.1114655435738874E-4,3.470807714456937E-5,1.994610768312431E-4,8.581042066065741E-4,2.3731898146700374E-5,5.027105270083846E-4,2.3014941435807394E-4,1.0679283333570326E-4,1.0997849295002765E-4,1.986575097786723E-4,7.141621535154842E-4,1.2162075751139919E-4,2.462229908516808E-4,0.034983246548480396,9.055480804647526E-5,2.4423448373490865E-4,2.111901988459475E-4,9.261054439369029E-5,2.3060691273834365E-4,0.0028297942609048113,0.03324680784430135,3.506475413846647E-4,1.5845652633082887E-4,1.6012152286920398E-4,4.966198823888773E-4,2.562455454853817E-4,2.7462452655735767E-4,2.2585949477681587E-4,0.006346923439366413
8,1665-A-Relation-of-a68c5babd3f5a1a2435f493cd242b2c175af00d3.txt,1665-A-Relation-of-a68c5babd3f5a1a2435f493cd242b2c175af00d3.txt,,"A Relation of a Kind of Worms, That Eat Out Stones",1665,1.3218560976696156E-4,9.124435796211226E-5,3.214452151649724E-4,4.555626155753377E-4,1.0018579420700296E-4,2.007052112544103E-4,1.555487867072869E-4,2.7617609326137783E-4,0.09254023357918996,8.874569603633762E-5,0.0012671731308634346,4.349608005499419E-4,7.447740792006299E-5,0.0012417614737909785,0.006888045407663242,2.4600603880287406E-4,8.573438710780633E-5,1.9749932141279925E-4,0.016649579258113688,1.1283538931635028E-4,1.7700722178519911E-4,3.985061111371635E-4,1.0871044654180487E-4,1.1473053449957993E-4,5.517901709218895E-4,2.0617127285942334E-4,0.07085270498336528,1.3457691504505106E-4,1.6614895930231176E-4,2.0244711079999805E-4,1.5674395466288145E-4,9.31071383430893E-5,0.00337320804090283,0.010168507313814246,2.150950781730899E-4,8.634037751482858E-5,6.505426061549368E-5,0.03284095146171696,3.4149019944476914E-4,1.2958045856449913E-4,1.2917052957830396E-4,6.423530817251865E-4,7.842627217254196E-5,1.5856784450456613E-4,0.024861765199344816,1.7820908223728483E-4,1.38550377575569E-4,1.181917348500103E-4,6.029095118974302E-5,0.0034244264540392623,6.186958531089708E-5,1.9275624079949605E-4,0.006611136461489552,4.8675105709535517E-5,1.903788775864051E-4,3.836832166157067E-4,7.594027709435746E-5,3.457671320577604E-5,1.0830453729100285E-4,8.59938987135065E-5,2.2806575023680616E-5,2.1365589334682337E-4,8.45181803234934E-5,0.042977958326068266,3.055940356112711E-5,0.11812457348737727,7.475448831747894E-5,4.5347606075951197E-4,2.3154780696484092E-4,5.515559194786498E-5,2.3460269616626246E-4,1.509502911116713E-4,2.4813070546399632E-5,1.4259625360573623E-4,6.134652785863913E-4,1.6966115998338552E-5,3.5939161132781186E-4,1.645355814697727E-4,7.634701560594277E-5,7.862446809683697E-5,1.4202177735684612E-4,0.2364490403634031,8.69476123228305E-5,1.760267045823425E-4,0.10037902804616375,6.473832678813316E-5,1.746051055935836E-4,1.5098149289127606E-4,6.620798846935441E-5,1.6486265057063967E-4,0.018407658312246507,0.15484533145108934,2.506806166489296E-4,1.132817859660508E-4,1.1447210476112924E-4,0.0036319607011454174,1.831919057585787E-4,0.03951941124070967,1.6146868505932741E-4,0.0012605409065567384
9,"1668-A-Note,-Relating-5b38142c7bec5b499778941097d324a89b761827.txt","1668-A-Note,-Relating-5b38142c7bec5b499778941097d324a89b761827.txt",,"A Note, Relating to the Formerly Publisht Narrative about Empty Tubes, Serving for a Decay'd Sight; Imparted by the Same Author in a Letter of August 10. 1668",1668,1.9285475286136863E-4,1.3312272142028265E-4,0.02437363224365198,0.024569305419848315,1.461680028262854E-4,2.928227511504244E-4,2.2694091188296152E-4,4.029324546449502E-4,0.001147304468668276,1.294772502602304E-4,0.016191558872850922,0.019758317297668415,1.0866025525396528E-4,0.030497276160757654,4.8758570447210805E-4,3.589152699705634E-4,1.2508384283694909E-4,2.881454561393058E-4,0.029072156495786157,1.646233743520541E-4,2.5824811091195013E-4,5.814082010333291E-4,1.5860520928284038E-4,0.004948319038634071,8.050449457552891E-4,3.007975674849576E-4,0.06034354842473458,1.9634359396317294E-4,0.009804267649880143,2.953641291942666E-4,2.2868462529556646E-4,1.358404608976862E-4,1.4047642965291579E-4,4.927483664014112E-4,3.138171259027324E-4,1.2596796426581468E-4,9.491217217742754E-5,1.0463447752450624E-4,0.005279154439091266,1.890539171107667E-4,1.8845584328516075E-4,0.0057181041622089415,1.1442152715668997E-4,2.313456246682257E-4,0.007586969123073482,2.600015884717955E-4,2.0214075399956348E-4,1.7243811830152964E-4,8.79626497314905E-5,0.20579522286311627,9.026582852553941E-5,2.8122544691067065E-4,8.358403989169615E-5,7.101548722786698E-5,0.1580484702300103,5.597820522818469E-4,1.1079453653900413E-4,5.044636471257577E-5,1.5801300012795904E-4,1.2546246231504656E-4,3.327409388631888E-5,3.117173993554873E-4,1.233094344181318E-4,5.514246537196738E-4,4.458523308068157E-5,2.266265322895782E-4,1.0906450706065278E-4,6.616076725787527E-4,3.3782115289645833E-4,8.047031800799402E-5,3.422781426020523E-4,2.2023184776327398E-4,3.620150935032905E-5,2.080435631123044E-4,8.950270373559184E-4,2.4753043191655315E-5,5.243413447595839E-4,0.03370656730882706,1.1138795555994956E-4,1.1471068893508195E-4,2.072054198741732E-4,7.448913914318404E-4,1.268539012375659E-4,0.005037748271918239,0.0030220039080602864,9.445123440739663E-5,2.5474349701869046E-4,2.2027737020331208E-4,9.65954257518359E-5,2.4052955376854958E-4,0.28980739804636685,0.0012108490658091977,3.657353357615493E-4,1.6527465338089778E-4,0.019290734114217674,5.179886295911746E-4,2.6727137525452534E-4,2.8644117404099496E-4,2.3557786212028263E-4,0.025743744071980525
